gatherings	original_extent	final_pagecount	Count
8vo	[8], 376 p.	384	   1
8vo	[4], 9, [3] p.	16	   1
8vo	[13], 80, 83-181, [17] l.	194	   1
2fo	p. [2], 839-891, [1]	56	   1
2fo	p. 833-835, [1]	4	   1
8vo	[20], 90, [44] p.	154	   1
4to	23, [1]	24	   1
2fo	805-808 p.	4	   1
2fo	p. 769-772	4	   1
4to	[16], 229, [1] p.	246	   1
2fo	p. [2], 755-760	8	   1
2fo	[2], 737-744, [2] p.	12	   1
2fo	731-733, [1] p.	4	   1
8vo	[16], 55, [1] p.	72	   1
2fo	[2], 713-722 p.	12	   1
2fo	p. 707-709, [1]	4	   1
2fo	[2], 685-693, [1] p.	12	   1
2fo	[2], 657-665, [1] p.	12	   1
2fo	p. 553 [i.e. 653]-655, [1]	4	   1
12mo	[4], 18 p.	22	   1
2fo	p. 627-629, [1]	4	   1
2fo	p. 623-625, [1]	4	   1
2fo	p. [2], 569-622	56	   1
12mo	[14], 15, [1] p.	30	   1
12mo	[10], 79, [1] p.	90	   1
4to	[4], 69, 66-67, [3] p.	76	   1
4to	[2], 6 [i.e. 14] p.	16	   1
4to	[8], 53, [1] p.	62	   1
4to	[2], 13, 12-13, [1] p.	16	   1
2fo	[2], 613-621, [1] p.	12	   1
2fo	p. [2], 581-610, leaves 611-613, [1]	616	   1
2fo	[2], 561-577, [1] p.	20	   1
8vo	[28], 528, [12] p.	568	   1
2fo	[2], 40, [2] p.	44	   1
8vo	[16], 151, [9] p.	176	   1
2fo	457-459, [1] p	4	   1
2fo	p. [2], 451-456	8	   1
2fo	p. 429-431, [1]	4	   1
2fo	[20], 50, 53-114, [4] p., plate, fold. table	142	   1
2fo	[2], 401-405, [1] p.	8	   1
2fo	[2], 353-357, [1] p.	8	   1
2fo	p. 349-351, [1]	4	   1
8vo	[14], 157, [1] p.	172	   1
8vo	[10], 240 p.	250	   1
4to	[4], 56 [i.e. 60] p.	64	   1
2fo	p. [2], 315-319, [1]	8	   1
2fo	p. [2], 303-308	8	   1
2fo	p. [2], 275-280	8	   1
2fo	[2], 263-272 p	12	   1
2fo	p. 259-261, [1]	4	   1
2fo	[2], 253-257, [1] p	8	   1
12mo	[22], 153, [1] p.	176	   1
2fo	p. 249-251, [1]	4	   1
2fo	150 [i.e. 148], [2] p.	150	   1
2fo	p. 237 [i.e. 245]-247, [1]	4	   1
2fo	p. 241-244	4	   1
2fo	[2], 173-178 p.	8	   1
2fo	[2], 157-166 p., 167-170 leaves	172	   1
2fo	p. [2], 151-155, [1]	8	   1
2fo	[2], 75-82, [2] p.	12	   1
2fo	p. 65-68	4	   1
2fo	p. 69-70, [2]	4	   1
8vo	92 p.	92	   1
8vo	[20], 180, [4] p.	204	   1
2fo	p. 53-54, [2]	4	   1
2fo	20, [2] p.	22	   1
2fo	p. 21-24	4	   1
2fo	p. 9-10, [2]	4	   1
2fo	[2], 9 [1] p.	2	   1
2fo	[2], 58 p.	60	   1
2fo	[2], 87-96 p.	12	   1
2fo	[2], 21-36 p.	18	   1
8vo	[14], 112, 129-140, [8], 149-213, [1] p.	236	   1
2fo	85 [i.e. 89], [1] p.	90	   1
2fo	[438] p.	438	   1
2fo	58, [2] p.	60	   1
8vo	[16], 119, [1] p.	136	   1
2fo	12[i.e.14], [2] p.	16	   1
4to	8, 7-9, [1] p.	10	   1
2fo	[2], 26, 25-42, [2] p.	46	   1
2fo	[2], 87 [i.e. 89], [1] p.	92	   1
2fo	[2], 1-20 p., 21-22 l., 23-76 p.	78	   1
2fo	[6], 22 p.	28	   1
2fo	[4], 47, [1] p.	52	   1
8vo	[2,], 21, [1] p.	24	   1
4to	[8], 262, [2] p., [1] folded leaf of plate	272	   1
4to	16 [i.e. 15], [1] p.	16	   1
8vo	[2], 44+ p.	46	   1
8vo	[20], 142, [2] p.	164	   1
4to	[2], 4 [i.e.5], [1] p.	8	   1
4to	[2], 1 [i.e. 10] p.	12	   1
4to	7, [21] p.	28	   1
4to	[14], 232 p.	246	   1
2fo	[6], 6 p.	12	   1
4to	[4], 16, [20] p.	40	   1
4to	[16], 216, [8] p.	240	   1
4to	4, 3-14 p.	14	   1
4to	50 p.	50	   1
2fo	[40] p.	40	   1
2fo	[1], 6 [i.e. 7] p.	8	   1
4to	[2], 18, 48 p.	50	   1
4to	[5], 17 p.	22	   1
4to	[2], 9, [1]; 30, [2] p.	44	   1
4to	[10], 55, [1] p.	66	   1
4to	[2], 29, [3] p.	34	   1
4to	[8], 183, [9] p.	200	   1
8vo	[4], 24 p.	28	   1
4to	[2], 34; [2], 43, [1] p.	82	   1
4to	[2], 6, [16] p.	24	   1
8vo	[42], 4, 39, [3] p.	84	   1
4to	[10], 160, 169-260, 265-292, 297-402, [2] p.	414	   1
4to	[2], 12, [2]	16	   1
4to	[4], 72, 69-80 p.	84	   1
4to	[2], 18 [i.e. 17], [1] p.	20	   1
4to	[24], 150, [2] p.	176	   1
4to	7, [1]	8	   1
4to	[4], 120, 103-142, 161-236, [4] p.	244	   1
4to	[2], 11 [i.e. 13], [1] p.	16	   1
4to	[2], 6, 9-24, 23-30, 33-44	46	   1
4to	[4], 8, [2], 16, [2], 11, [3], 6 p.	27	   1
4to	[2], 11 [i.e. 15], [3] p.	20	   1
4to	[2], 30, 28, 33-36 p.	38	   1
4to	[6], 8, 29, [1] p.	36	   1
4to	[2], 12, 23, [1] p.	26	   1
4to	[6], 28 [i.e. 30], [4] p.	40	   1
4to	[16], 108; 52 p.	176	   1
4to	[16], 45, [3] p.	64	   1
4to	[2], 115, [1] p.	118	   1
4to	[40], 320, [16] p.	376	   1
4to	17-24 p.	8	   1
4to	[2], 32, 29-72 p.	74	   1
4to	16, 23-30 p.	30	   1
4to	25, [5] p.	30	   1
4to	56, 23, [1] p.	57	   1
4to	[1], 9 [i.e. 17] leaves	35	   1
4to	[2], 2-3 p.	4	   1
4to	3, [4-8] p.	8	   1
4to	24, [4] p.	28	   1
2fo	[24], 162, [2], 175, [1] p.	202	   1
2fo	[2], 51-52 p.	4	   1
2fo	[2], 85-90 p.	8	   1
4to	[2], 6, 9-23, [1] p.	26	   1
4to	[8], 140 p.	148	   1
4to	[8], 116 p.	124	   1
4to	1 sheet (1 p.)	2	   1
4to	[16], 38 p.	54	   1
4to	[24], 307, [9] p.	340	   1
4to	[12], 20 p.	32	   1
4to	[2], 9, [1], 7-49, [1] p.	53	   1
4to	[4], 32 p., [1] leaf of plates	38	   1
4to	[8], 254 [i.e. 262], [2] p., [1] folded leaf of plates	272	   1
4to	[4], 60, 57-96, 89-95, [1] p.	101	   1
4to	[14], 47, [9] p.	70	   1
4to	5, [1]p.	6	   1
4to	[8], 40 [i.e. 48] p.	56	   1
4to	[2], 16 [i.e. 14] p.	16	   1
4to	[2] p., 14 leaves, [2], 15-30 p.	48	   1
4to	[7], 1, 1-75, [1] p.	83	   1
4to	40, [1] p., [1] leaf of plates	43	   1
4to	3, 3-4, 5-18 p.	18	   1
4to	[2], 8 (i.e. 6) p.	2	   1
4to	[4], 56; 11, [1] p.	72	   1
4to	[8], 90 p.	98	   1
4to	[16], 88 p.	104	   1
4to	[2], p.2, 2-18 p.	19	   1
4to	[80], 709, [3] p.	792	   1
4to	[8], 40, [2] p.	50	   1
8vo	[26], 102, 133-362, [2], 125, [1] p.	391	   1
4to	37 [i.e. 36], [2] p.	38	   1
4to	[4], 16, [2] p.	22	   1
4to	[6], 6 p.	12	   1
4to	[8], p.	8	   1
4to	[2], 10 [i.e. 12], [2] p.	16	   1
4to	38 [i.e. 39], [1] p.	40	   1
4to	[6], 26, p.	32	   1
4to	[10], 46, [2] p.	58	   1
4to	[4], 4, 23, [1], 51 [1] p.	28	   1
4to	[8], 80, [4] p.	92	   1
4to	[10], 3-32 p.	40	   1
4to	12 [i.e. 8] p.	8	   1
4to	[2], 19-38 p.	22	   1
4to	[102], 104 p.	206	   1
4to	12 [i.e. 15], [1] p.	16	   1
4to	[2], 24 p., [1] leaf of plates	28	   1
4to	[2], 22, [2] p.	26	   1
4to	[4], 12, 15-29, [1] p.	34	   1
4to	[9], 6, 6-70 p.	79	   1
4to	1, 24-29, 32-38, 37-46 p.	46	   1
4to	[2], 29 [i.e. 36] p.	38	   1
4to	[8], 25, [3] p.	36	   1
4to	[2], 3, [1], 2 p.	6	   1
4to	[8], 87, [1] p.	96	   1
4to	[4], 12p.	16	   1
2fo	p. 33-35, [1]	4	   1
2fo	p. [2], 1697-1709, [1]	16	   1
4to	16, 15-37, [1] p.	38	   1
4to	[4], 115, [1] p.	120	   1
4to	[6], 11, [1] p.	18	   1
4to	[8], 160, 181-188 p.	196	   1
4to	[4], 88 [i.e. 96], [2] p.	102	   1
4to	[2], 1, 4-5, 4-5, 8-15, [1] p.	18	   1
4to	[2], 16 (i.e. 18) p.	2	   1
4to	3, 2-5, 8 p.	8	   1
4to	[2], 1, [5]	8	   1
4to	[4], 33, [1] p.	38	   1
4to	[2], 23-124, 123-142, 139-174 p.	176	   1
4to	[2], 5 [i.e 6] p.	8	   1
4to	[8], 103, 108-121, [3] p.	132	   1
4to	[6], 10, 13-31, [1] p.	38	   1
4to	[4], 6, 12, [2] p.	18	   1
4to	[4], 40, [2] p.	46	   1
4to	[18], 275, [9] p.	302	   1
4to	[16], 136 p.	152	   1
4to	12; 8 p.	20	   1
4to	[2], 38, [8] p.	48	   1
4to	[26], 131, [3] p.	160	   1
4to	[2], 8, 16, 15-38, 41-63, p. 56, [2] p.	67	   1
4to	[2], 21, 30-37, [1] p.	40	   1
4to	25, 16-20 [i.e. 30] p.	30	   1
4to	[2], 51, [1] p.	54	   1
4to	[8], 103, [1] p.	112	   1
2fo	10 [i.e. 11], [1] p.	12	   1
4to	40, 13, [1] p.	41	   1
4to	[4], 71, [1] p.	76	   1
4to	[4], 57, [1] p.	62	   1
4to	2 sheets ([4] p.)	4	   1
12mo	[4], 185, [4] p., [4] leaves of plates	201	   1
12mo	[10], 95, 92-133, 128-287, 282-329, 322-466 [2] p.	476	   1
4to	[6], 79, [1] p.	86	   1
4to	[4], 3, [1], 7-12 p.	17	   1
4to	[6], 49, [1] p.	56	   1
4to	[2], 1, 4-18 p.	20	   1
8vo	[6], 148 [i.e. 149], [3] p.	158	   1
8vo	[8], 231, [1] p., plate	242	   1
4to	7, [1], 8 p.	9	   1
4to	[8], 106, [2] p.	116	   1
8vo	[32], 613, [19] p.	664	   1
8vo	[8], 74, [8], 75-80 p.	96	   1
8vo	[8], 74 p.	82	   1
4to	8, [16] p.	24	   1
4to	[2], 129, [1] p.	132	   1
8vo	[8], 88, [1], 92-93, 93-94, 96-202 p., [1] leaf of plates	213	   1
4to	[8], 112 p.	120	   1
4to	[2], 14, 13-21, 26-48 p.	50	   1
8vo	[8], 293, [3] p.	304	   1
4to	[2], 14, 17-56 p.	58	   1
4to	[22], 162 p.	184	   1
4to	[8], 32, 25-30, [2], 41-64 p.	74	   1
8vo	[4], 72; 19, [1] p.	96	   1
4to	88 p.	88	   1
8vo	[8], 128, 127-158, 155-170, 175-229, 300-339, 440-759, [1] p.	768	   1
4to	48; 8 p.	56	   1
8vo	160 p.	160	   1
8vo	[20], 112, 99-101, [13] p.	145	   1
4to	95, [1] p.	96	   1
12mo	[12], 114, [6] p.	132	   1
4to	8, 7-12 p.	12	   1
2fo	12, 11-12, 9-10 p.	12	   1
12mo	[10], 72, 75-158 p.	168	   1
12mo	[12], 181, [11] p.	204	   1
4to	[4], 4, 18, [2] p.	24	   1
2fo	[2], 48, [2] p.	52	   1
4to	[4], 4, 22, [2] p.	28	   1
4to	[36], 80, 73-360, [4] p.	400	   1
8vo	[32], 237, [3] p.	272	   1
4to	[4], 36, 39-62, 65-96 p.	100	   1
4to	[10], 24 p.	34	   1
12mo	[12], 418, [4] p., folded leaf, [2] folded plates	438	   1
4to	[6], 66, 65-104 p.	110	   1
4to	[1], 6, 6-14, 17-24 p.	25	   1
8vo	[16], 223, [1]; [12], 34, [6]; [64] p., [1] leaf of plates	358	   1
8vo	[6], 200, 128, 125-396; 41, [7] p., plate	452	   1
8vo	[8], 205, [3] p.	216	   1
4to	[8], 93, 30-191, 176-184, [4] p.	203	   1
8vo	[20], 90 p.	110	   1
8vo	[8], 224, [16]; [4], 70, [2] p.	324	   1
8vo	[16], 239 [i.e. 273], [7] p.	296	   1
8vo	[32], 23, [1] p.	56	   1
4to	[24], 3-40, 45-52, 49-119, [1] p., [1] leaf of plates	146	   1
4to	[16], 43, [1]; 80, 73-79, [1] p., plate	143	   1
4to	[12], 23, 32-34, [2] p.	48	   1
8vo	[8], 89, [3] p.	100	   1
4to	[29], 4-40, 45-52, 51-57, 56-119, [1] p.	149	   1
4to	[20], 432, 401-424, [4], 425-518, [2] p.	544	   1
4to	[76], 76 p.	152	   1
4to	[34], 74 p.	108	   1
2fo	[2], 50 [i.e. 51], [1] p.	54	   1
4to	[2], 45 [i.e. 55], [1] p.	58	   1
2fo	[2], 275-276 p.	4	   1
2fo	447, [5] p.	452	   1
4to	[2], 5-16 p.	14	   1
8vo	[4], 95, [1] p.	100	   1
12mo	[10], 109, [7] p.	126	   1
4to	[2], 56, 55-62, 65-66 p.	68	   1
12mo	[2], 135, [1] p.	138	   1
8vo	[16], 141, 140-141, [1], 147-258 [i.e. 256], [2] p.	275	   1
4to	[2], 12 [i.e. 18] p.	20	   1
4to	[2], 24, 33-36 p.	38	   1
4to	[8], 45, [1] p.	54	   1
4to	[2], 6, 9-24 p.	26	   1
4to	[16], 27, [1] p.	44	   1
4to	[16], 241, [3] p.	260	   1
4to	[4], 48, [6], 49-61, [1] p.	72	   1
4to	[2], 10 [i.e. 14] p.	16	   1
4to	[8], 94, [2]p.	104	   1
8vo	[8], 136, 145-246, [6] p.	260	   1
4to	46 p.	46	   1
4to	55 [i.e. 46] p.	46	   1
4to	[4], 64, 57-76, 81-96, [2] p.	102	   1
4to	[2], 48 p., 49-56 leaves, 57-287, [1] p.	290	   1
8vo	[4], 215, [1] p.	220	   1
12mo	[78], 312 p.	390	   1
2fo	[12], 94 p.	106	   1
2fo	[4], 283, [1] p.	288	   1
2fo	[4], 404 p.	408	   1
2fo	[2], 448 p.	450	   1
2fo	420 p.	420	   1
2fo	[2], 502 p.	504	   1
4to	[4], 42 p.	46	   1
4to	17 [i.e. 15], [1] p.	16	   1
4to	[24], 378, [10] p., plates	416	   1
4to	3, 2-14, 17-28 p.	28	   1
8vo	[16], 238, [2], 228, [2] p.	258	   1
12mo	[20], 96, [16] p.	132	   1
12mo	[8], 100 p.	108	   1
4to	[2], 67, [1] p.	70	   1
4to	[4], 23 [i.e. 43], [1] p.	48	   1
4to	20 [i.e. 16] p.	16	   1
8vo	[8], 528, 527-533, [1] p.	542	   1
8vo	[18], 376, [12], 3 leaves of plates (1 folded)	412	   1
4to	[4], 8, 13-35 [i.e. 44] p.	48	   1
4to	[5], 2-3, [1] p.	8	   1
2fo	[10], 172, [40] p.	222	   1
2fo	[12], 118, [40] p.	170	   1
2fo	[14], 54, 57-74, 73-158, [38] p.	210	   1
2fo	[8], 98, 91-186 p.	194	   1
2fo	[12], 97, p. 100, p. 103, 106-108, 111-168 p., 169-171 l., 172-173 p., leaf 174, 175-219, [81] p.	312	   1
2fo	[10], 72, [32] p.	114	   1
2fo	[8], 54, 69-188, 187-195, [43] p.	246	   1
8vo	[8], 24, 21-196, 96 p., 4 leaves of plates	212	   1
4to	[24], 94 [i.e. 100] p.	124	   1
4to	[6], 36 [i.e. 37], [1] p.	44	   1
4to	[2], 620, [10] p.	632	   1
4to	[10], 50 p.	60	   1
4to	8, 7-11, [3] p.	14	   1
12mo	[12], 75, [3] p.	90	   1
8vo	[16], 199, [1] p., plate	218	   1
2fo	[8], 32 p.	40	   1
8vo	[44], 39, 38-183, [1] p.	228	   1
8vo	[4], 155, [9] p.	168	   1
4to	[32], 80, 112, [2], 110, [16] p.	162	   1
8vo	[4], 155, [1] p.	160	   1
4to	[4], 70, [2], 36, [4], 14, [4], 43, 126 p.	140	   1
4to	[16], 51, [1] p.	68	   1
2fo	[92], 96 p., 97-107, 107-133 leaves, 117-1307, [1] p.	1400	   1
4to	[42], 11, [1] p.	54	   1
8vo	[10], 106 p.	116	   1
8vo	[20], 149, [1] p.	170	   1
4to	[30], 398 p.	428	   1
4to	16, 13-24 p.	24	   1
4to	[18], 57, [1] p.	76	   1
8vo	[40], 255, 258-433, [1] p., [2] folded leaves of plates	474	   1
12mo	[22], 168 p.	190	   1
4to	33 [i.e. 32] p.	32	   1
4to	[20], 39, [5] p.	64	   1
4to	[4], 1, 4-6 p.	10	   1
4to	[8], 12 p.	20	   1
8vo	[2], 53, [9] p.	64	   1
8vo	[16], 102 [i.e. 202], [6] p.	224	   1
4to	[16], 70, [36] p.	122	   1
4to	[4], 11, 20-26, [2] p.	32	   1
4to	[2], 45, 44-55, [1] p.	58	   1
8vo	[18], 88 p.	106	   1
4to	[6], 16, [2]p.	24	   1
4to	[2], 6; 4 p.	12	   1
4to	[16], 191, [1] p.	208	   1
4to	[8], 86, [2] p.	96	   1
4to	[2], 4, [2], 9-16 p.	20	   1
4to	[2], 2, 10 [i.e. 16] p.	18	   1
4to	8, 7, [1] p	9	   1
4to	[8] 140 p., [1] leaf of plates	149	   1
4to	[2], 14, 12-13, [2] p.	18	   1
4to	41, 41-42, [1] p.	43	   1
4to	[2], 14, 17-24, 23-29, [1] p.	32	   1
4to	[8], 32, 41-68 p.	76	   1
4to	[6], 19, [1] p.	26	   1
4to	[2], 40, [6] p.	48	   1
4to	[2], 1, 4-8, 7-13, [1] p.	16	   1
4to	[2], 43 [i.e. 25], [1] p.	28	   1
4to	[6], 71, [1] p.	78	   1
4to	[2], 9 [i.e. 15], 8-9, 12-13, 12-13, [1] p.	18	   1
4to	[6], 27, [1] p.	34	   1
8vo	[8], 119, [1] p.	128	   1
4to	[36], 16, [16], 17-240, [8], 241-295, [1] p.	356	   1
4to	[2], 7, [1] 16 p.	19	   1
4to	[2], 6, 4, 10 p.	12	   1
4to	[2], 6, 64, [4] p.	70	   1
4to	21 [i.e. 29], [1] p.	30	   1
12mo	[2], 20, [2] p.	24	   1
2fo	[6], 990, [28]	1024	   1
4to	[8], 27, [5] p.	40	   1
4to	[4], 50, [2] p., [1] leaf of plates	58	   1
NA	[2], 5, [1] p.4⁰.	7	   1
4to	[2], 52, 53a-62k, 53-114, [2] p.	118	   1
4to	13, [1]p.	14	   1
4to	[2], 6, 3, [1]p.	9	   1
4to	[4], 152 p.	156	   1
12mo	[14], 116 p., [1] leaf of plates	132	   1
4to	[64], 152, 161-336, 537-560, 361-590, [2] p.	656	   1
8vo	[14], 823, [1] p., [1] leaf of plates	840	   1
8vo	[8], 88, 81-128, 137-183, [3], 34 p., [1] leaf of plates	196	   1
4to	[6], 16, [2] p.	24	   1
2fo	[12], 99, [7], 239, [11], 55, [7], 34 p., [18] leaves of plates (5 folded)	312	   1
12mo	[32], 264, 263-550, 92, [4] p., [1] leaf of plates	588	   1
4to	20 p., [1] leaf of plates	22	   1
2fo	[12], 152 p., 153-160 leaves, 161-292, [8] p., plate	314	   1
4to	[2], 13, [9] p.	24	   1
2fo	[26], 228, 351-445, 452-587, [1], 737-960, [16], 1029-1091, [1] p.	1135	   1
8vo	[8], 424 p., 128 leaves of plates	688	   1
8vo	[230?] p.,plates	234	   1
4to	[6], 174, [6], 18 p.	186	   1
4to	[1], 7, 9-12 p.	13	   1
4to	[8], 56, 53-59, [1] p.	68	   1
4to	[2], 30, 33-40, 43-50 p.	52	   1
4to	[2], 2, 5-12, 11-18, 23-30 p.	32	   1
4to	[2], 2, 5-12, 11-26 p.	28	   1
4to	12 [i.e. 24] p.	24	   1
4to	[12], 212 p.	224	   1
12mo	[24], 429, [1]+ p.	454	   1
4to	[4], 8, 17-24, 17-30, [2] p.	36	   1
4to	[8], 136, [2] p.	146	   1
4to	7 [i.e 8] p.	8	   1
8vo	[24], 452, [16] p.	492	   1
12mo	[10], 163, [1] p.	174	   1
4to	7, [1]; 30 p.	38	   1
4to	[30], 97, [3], 21, [1] p.	131	   1
4to	[2], 38 [i.e. 30] p.	32	   1
2fo	[12], 594, [32] p.	638	   1
4to	[10], 35, [1] p.	46	   1
2fo	[22], 7, [1], 39, [3], 40-41, 45-46, 55-216, 218-225, 225-796, [44] p.	866	   1
4to	[8], 57 [i.e. 59], [1] p.	68	   1
4to	[128] p., [1] leaf of plates	130	   1
4to	[4], 9-15 p.	11	   1
4to	[12], 39, [1] p.	52	   1
4to	[12]; 15, [1] p.	28	   1
8vo	[14], 48 p.	62	   1
4to	[6], 38, [4] p.	48	   1
4to	[2], 3 [i.e. 4], [2] p.	8	   1
4to	[2], 43, [3], 13, [1] p.	49	   1
2fo	[2], 3, [1] p.	6	   1
4to	[4], 95, [1] p.	100	   1
4to	[6], 136, (133)-(136), 137-304, [16] p.	326	   1
4to	[8], 143, [1] p. [1] leaf of plates	154	   1
4to	[8], 254, [2], 20 p.	264	   1
4to	[12], 262, [2] p., [1] folded leaf of plates	276	   1
4to	[8], 265, [1] p.	274	   1
8vo	[12], 434, 6, [14] p.	460	   1
4to	[12], 168, [8] p.	188	   1
4to	[8], 36 p., 1 plate	46	   1
4to	[8], 164 p.	172	   1
4to	[4], 63 [i.e. 36] p.	40	   1
4to	[4], 232 p.	236	   1
4to	[4], 73, [1] p.	78	   1
4to	[8], 280 p.	288	   1
12mo	[12], 131, [1] p.	144	   1
4to	[22], 162, 161-195, [1], 34, p. 36, p. 35, [1] l., 41-77, [7] p., [1] leaf of plate	227	   1
2fo	[20], 292, p. 281, 222-227, 288-384 p.	404	   1
8vo	[16], 96, 113-169, 154-360 p.	376	   1
2fo	[6], 598, [26] p.	630	   1
2fo	[9], 10 leaves, 11-661, [41] p., [1] leaf of plates	723	   1
8vo	[34], 156, 145-224, [2], 27, [3]; 46, [2] p.	311	   1
2fo	[16], 168, [2], 84, [2], 85-196, [36] p.	252	   1
2fo	[8], 88, 151-370, 375-398 p., folded genealogical table, [8] leaves of plates (some folded)	424	   1
4to	viii, 46, [2] p.	56	   1
12mo	[8], 153, [5] p.	166	   1
8vo	[8], 318, [2] p.	328	   1
4to	[2], 30, 39-46 p.	48	   1
2fo	[2], 14, [2] p.	18	   1
8vo	[4], 160 p., [1] leaf of plates	166	   1
4to	[24], 76, 49-184, 117-124 p.	208	   1
12mo	166 p.	166	   1
8vo	[10], 42, [2], 4, [64]; [2], 46; [2], 69, [1] p., [1] leaf of plates	240	   1
4to	[4], 12, 14-16, [1] p.	21	   1
8vo	[6], 519, [1] p.	526	   1
4to	32 [i.e. 33], [3] p.	36	   1
2fo	[16], 136, 145-336, 339-509, [5], 507-548, [14], 191, [1] p.	584	   1
8vo	[14], 192, 191-390, 353-590, [2] p.	606	   1
4to	[8], 65, 74-87, [1] p.	96	   1
4to	[28], 247, [1]; [6], 120, [2] p.	404	   1
2fo	[2], 64, 63-178 p.	180	   1
4to	[24], 76, 81-216, 117-124 p.	240	   1
8vo	[4], 6, 9-92 p.	96	   1
4to	[2], 28; 23, [1] p.	54	   1
2fo	[16], 120, [2], 458, [12], 733, [7] p., [3] folded leaves of plates	770	   1
8vo	[22], 368, 371-411, [1] p., [3] leaves of plates folded	440	   1
12mo	137, 319, [113], 30 p.	432	   1
8vo	[10], 30 p.	40	   1
4to	viii, 165, 174-184, 149-252, 261-431, [9] p.	448	   1
12mo	[2], 214 p.	216	   1
8vo	[8], 76 [i.e. 96] p.	104	   1
4to	8 [i.e. 16] p.	16	   1
12mo	[24], 119, [1] p.	144	   1
4to	[22], 66, 116, [8], 178, [10] p.	218	   1
4to	[2], 14 [i.e. 28], [2] p.	32	   1
8vo	[34], 108, 99-194, 185-232, [8] p.	274	   1
4to	[6], 72, 24 p.	78	   1
8vo	[24], 172, [4] p.	200	   1
4to	[2], ii, 3, 8-48 p.	52	   1
2fo	[20], 191, [1], 62, [2] p.	214	   1
8vo	156 p.	156	   1
4to	[12], 38, [2] p.	52	   1
12mo	[2], 94, [2] p.	98	   1
4to	[8], 304, 307-418, [10] p., [1] leaf of plates	438	   1
8vo	[24], 130, [2] p.	156	   1
4to	[16], 14, [2], 8, 12, 4, 4, 8, 12, 9-16, 8, 5-40, 27, [1] p.	59	   1
4to	[6], 51, [3], 57, [1]; [4], 120, 103-142, 161-236; [8], 52, [20] p., [2] folded leaves of plates	387	   1
8vo	[4], 142 p., [1] leaf plates	148	   1
8vo	[16], 173, [3] p., [6] leaves of plates (1 folded)	204	   1
8vo	[8], 129, [7], 108, [30] p.	174	   1
4to	25, 24-31, 34-35, 34-35, 38-60 p.	60	   1
2fo	[6], 90 p.	96	   1
2fo	[2], 5, [1], 3-4 p.	8	   1
2fo	[8], 39, [1] p.	48	   1
4to	1-8, 7-30 p.	30	   1
4to	[2], 42, [4] p.	48	   1
8vo	[22], 288, 299-310, [4] p.	336	   1
12mo	[6], 18, [2], 19-38, [2], 39-110, 115-210 p.	220	   1
4to	[24], 136 p.	160	   1
4to	[8], 44 p.	52	   1
4to	4, [1], 5-6, [1] p.	8	   1
4to	15 [i.e. 16] p.	16	   1
8vo	[36], 416 p.	452	   1
2fo	[4], 147, [1] p., [2] leaf of plates (1 folded)	156	   1
4to	[12], 160, 181-355 [i.e. 255], [9] p.	276	   1
8vo	[16], 280 p.	296	   1
8vo	[16], 175, [5]; [2], 192 p., 1 leaf of plates (front.)	392	   1
8vo	[74], 37, [1], 208, 205-234, [2] p.	311	   1
12mo	[14], 204 p.	218	   1
2fo	[4], 82 p.	86	   1
8vo	[24], 242, [2] p.	268	   1
2fo	[6], 278, 281-448, 457-467, [1], 139, [25] p.	499	   1
2fo	[6], 52, 51-52, 57-81, [1] 81-82, 85-88, 87-94, 97-104, [2] p.	113	   1
2fo	[4], 93, [6], 97-259, 262-262 [i.e. 264], [2], 277-338, [10] p., [2] leaves of plates	364	   1
4to	[4], 51, [3] p.	58	   1
4to	[4], 15-25, 30-58 p.	62	   1
8vo	xv, 352, 289-322 p., 4 leaves of plates (1 folded)	375	   1
2fo	[8], 141, [5], 53, [1] p., [2] leaves of plates	159	   1
8vo	[16], 229, [1] p.	246	   1
8vo	[16], 380, [4] p., [12] leaves of plates	424	   1
8vo	[8], 120, [16] p.	144	   1
4to	[20], 62, [6], 63-150 p.	176	   1
2fo	[2], 22, 21-67, [1] p.	70	   1
4to	[6], 28, [2] p.	36	   1
2fo	[12], 82 p., 83-94 leaves, 95-578, [12] p., [5] leaves of plates	612	   1
4to	[2], 9 [i.e. 7], [2], 6 [i.e. 5] p.	11	   1
4to	[8], 63, [1] p.	72	   1
4to	[8], 134 p.	142	   1
12mo	[12], 252 p.	264	   1
4to	[16], 323, [13] p.	352	   1
4to	[2], 412, 12, 413-500, 461-564, [32] p.	598	   1
4to	1[i.e.8] p.	8	   1
8vo	[8], 77, [3] p.	88	   1
8vo	[16], 246, [8] p.	270	   1
8vo	2 v. ([120], 303, [1]; [4], 231, [1], 163 [i.e. 363], [1] p., [2] folded leaves of plates)	793	   1
4to	[10], 61, 64-224, 227-730,733-772,763-955, [21] p.	986	   1
4to	[4], 121-126, [14] p.	24	   1
2fo	8 p., [1] folded plate	10	   1
4to	[2], 22, [2], 21-28, [1], 32-46, 63-91, 94-96 p., [1] leaf of plate	103	   1
4to	[2], 6 [i.e. 5], [1] p.	8	   1
2fo	[12], 331, [13] p., [15] leaves of plates	386	   1
4to	[2], 63, [3] p.	68	   1
2fo	[16], 119, [1], 128, 115, [1] p.	146	   1
8vo	[8], 263, [1] p., [3] plates (1 folded)	278	   1
8vo	[6], 422, [2] p.	430	   1
4to	[2], 5, 8-32 p.	34	   1
4to	[2], 38, [8], 41-43, [1] p.	54	   1
4to	[2], 16, 15-30 p.	32	   1
