"metadata_ESTCID,""Freq"",""TotalLength"""
"N040000,""2"",""17813"""
"N000548,""2"",""66737"""
"T167650,""2"",""175327"""
"T139262,""2"",""793999"""
"T055304,""10"",""107343"""
"N007830,""4"",""707345"""
"T117589,""2"",""16996"""
"T090096,""4"",""111915"""
"T135558,""2"",""30556"""
"N010149,""2"",""66114"""
"T106867,""4"",""92743"""
"N008218,""2"",""268309"""
"T110653,""2"",""117818"""
"N002106,""2"",""65926"""
"T138965,""2"",""263291"""
"T107371,""10"",""65803"""
"T114555,""12"",""185877"""
"T110366,""2"",""87454"""
"T138613,""2"",""17708"""
"T167543,""2"",""121835"""
"T121703,""2"",""167883"""
"T139625,""2"",""91499"""
"T139118,""4"",""30190"""
"T126073,""2"",""168342"""
"T070486,""2"",""11682"""
"T130625,""2"",""184333"""
"T106800,""8"",""85875"""
"T111677,""2"",""65856"""
"N017553,""4"",""70965"""
"T146091,""2"",""70978"""
"T055302,""2"",""131164"""
"T116228,""2"",""42040"""
"T021598,""10"",""16773"""
"T219377,""58"",""1059845"""
"T005358,""4"",""25579"""
"T134050,""8"",""136682"""
"T116228,""4"",""42035"""
"T110762,""2"",""66405"""
"T154466,""4"",""262503"""
"T130780,""2"",""159164"""
"T063429,""2"",""85751"""
"T109576,""2"",""116592"""
"T136755,""2"",""125512"""
"T055302,""6"",""116619"""
"T117033,""6"",""170589"""
"T082468,""6"",""96487"""
"T126201,""2"",""128901"""
"T160975,""4"",""273120"""
"T146089,""2"",""71989"""
"T055309,""84"",""117237"""
"T114151,""2"",""57421"""
"T117027,""20"",""262932"""
"T078987,""4"",""115887"""
"T160985,""4"",""175166"""
"T006644,""10"",""71720"""
"T090053,""12"",""262881"""
"T140787,""2"",""262285"""
"T146027,""8"",""116691"""
"T138430,""6"",""534110"""
"T062671,""2"",""691338"""
"T043026,""2"",""88749"""
"T066146,""2"",""169262"""
"T112827,""8"",""182383"""
"T090280,""2"",""10748"""
"T107340,""12"",""116695"""
"T095532,""2"",""77599"""
"T113957,""2"",""262980"""
"T135892,""8"",""690354"""
"T063307,""2"",""68965"""
"T116389,""2"",""7449"""
"T133607,""2"",""263331"""
"T145659,""2"",""263242"""
"T146541,""4"",""117643"""
"T111675,""2"",""140775"""
"T144226,""4"",""167925"""
"T139691,""2"",""76151"""
"N017990,""4"",""151287"""
"T115225,""28"",""140654"""
"T154455,""2"",""42259"""
"T146088,""2"",""71983"""
"T101007,""2"",""71015"""
"T116228,""4"",""42054"""
"T144227,""2"",""262347"""
"T116228,""4"",""42054"""
"T167533,""2"",""169232"""
"T160976,""8"",""272762"""
"T095404,""2"",""262734"""
"T091202,""2"",""173343"""
"T107443,""4"",""214321"""
"T106230,""2"",""88748"""
"T095226,""2"",""155395"""
"T078366,""4"",""118378"""
"T036370,""8"",""125266"""
"T124790,""2"",""85702"""
"T057741,""2"",""68351"""
"T151984,""2"",""58639"""
"T136504,""2"",""305578"""
"T021813,""2"",""73220"""
"T110845,""2"",""51453"""
"T088635,""2"",""48348"""
"T112187,""2"",""88875"""
"T137655,""2"",""69670"""
"T126263,""2"",""108879"""
"T135383,""2"",""70466"""
"T146088,""2"",""72910"""
"T082471,""4"",""122592"""
"T055320,""6"",""167856"""
"T072765,""2"",""123652"""
"T107340,""24"",""167953"""
"T055318,""4"",""167856"""
"T140039,""4"",""180104"""
"T072056,""2"",""74994"""
"T134594,""2"",""117152"""
"T082471,""4"",""119864"""
"T182362,""2"",""29254"""
"T036369,""2"",""96637"""
"T055303,""4"",""117643"""
"T146090,""2"",""72891"""
"T080193,""4"",""101148"""
"T101742,""8"",""481970"""
"T082469,""4"",""167965"""
"N020132,""6"",""273181"""
"T143974,""2"",""85722"""
"T074909,""6"",""87813"""
"T106230,""4"",""127657"""
"T144147,""2"",""172324"""
"T116649,""22"",""262611"""
"T140779,""48"",""1066137"""
"T130378,""2"",""66368"""
"N008549,""2"",""42058"""
"N005082,""2"",""104904"""
"T147677,""2"",""286149"""
"N008383,""2"",""69712"""
"T116228,""4"",""42054"""
