volumes	parts	pages.original	count
1	NA	[16],581,[1]p.,plate	4
1	NA	xvi,330,[6]p.	4
1	NA	[8],56p.	4
1	NA	xii,300p.,plates	4
12	NA	12v.	4
1	NA	[8],264p.	4
1	NA	[4],37,[1]p.	4
7	NA	7v.,plates	4
2	NA	2v.,table	4
2	NA	2v.,plates,tables	4
1	NA	328p.,plate	4
1	NA	x,312,[12]p.	4
1	NA	[2],iii,[1],25,[26],50-69,[1];213,[67]p.,plates	4
1	NA	iv,28p.	4
1	NA	xxxii,431,[9]p.,plates	4
1	NA	[2],357,[1]p.	4
1	NA	iv,504p.	4
1	NA	[4],22p.	4
1	NA	vii,[1],176p.	4
1	NA	viii,118p.	4
1	NA	49,[1]p.	4
1	NA	[8],219,[1]p.	4
1	NA	[4],105,[1]p.	4
1	NA	[8],32p.	4
1	NA	[2],xxiv,259,[5]p.,plate	4
4	NA	4 v., plates	4
2	NA	2v.,plates,table	4
1	NA	[4], xxiii, [1], 248, [4] p., plate	4
1	NA	[2],19,[1]p.	4
1	NA	[4],42p.	4
1	NA	viii,517,[3]p.	4
1	NA	viii,64p.	4
1	NA	89,[1]p.	4
1	NA	55,[5]p.	4
1	NA	[2],134p.	4
1	NA	[8],39,[1]p.	4
1	NA	[2],86p.	4
1	NA	[10],54p.	4
1	NA	[2],633,[3]p.	4
1	NA	[2],68p.	4
1	NA	[2],66p.	4
1	NA	66p.	4
1	NA	[4],91,[1]p.	4
1	NA	[10],140,[6]p.	4
1	NA	[4],115,[1]p.	4
1	NA	[4],148p.	4
1	NA	[8],40p.	4
1	NA	72p.,plate	4
1	NA	61,[3]p.	4
1	NA	[2],59,[1]p.	4
1	NA	[4], 108 p.	4
1	NA	[8],208p.	4
NA	NA	v.1 ([14],168,175-434,[18]p.),plates	4
1	NA	xxx,304,321-420p.	4
1	NA	[32], 272, 39, [1] p.	4
1	NA	[8], 38 p.	4
1	NA	[128] p.	4
1	NA	[8], 16 p.	4
1	NA	[8], 20 p.	4
1	NA	[8], 136 p.	4
1	NA	[88] p.	4
1	NA	[100] p.	4
1	NA	[192], 97, [7] p.	4
1	NA	[4], 17, [1] p.	4
1	NA	[54] p.	4
1	NA	[8], 271, [1]; [6], 12, 227, [3] p.	4
1	NA	[4], 14 p.	4
1	NA	[6], 60 p.	4
1	NA	[4], 25, [3] p.	4
1	NA	[10], 554, [5], 556-812, [32] p.	4
1	NA	[14], 96, 105-248 p., [6] plates (4 folded)	4
1	NA	[8], 148 p.	4
1	NA	[4], 74, [2] p.	4
1	NA	29, [1] p.	4
1	NA	[4], 9, [1] p.	4
1	NA	[8], 55, [1] p.	4
1	NA	[6], 70 p.	4
1	NA	31 p.	4
1	NA	[6], 42 p.	4
1	NA	[5] p.	4
1	NA	131-134 p.	4
1	NA	[6], 33, [1] p.	4
1	NA	[4], 53, [1] p.	4
1	NA	[12], 797, [1] p.	4
1	NA	[2], 94 p.	4
1	NA	2 sheets ([3] p.)	4
1	NA	[2], 10, [2] p.	4
1	NA	1 sheet ([1] p.) ;c1⁰.	4
1	NA	[34], 549, [1] p., [1] leaf of plates	4
1	NA	[4], 152 p.	4
1	NA	[2], 7 [i.e. 9], [1] p.	4
1	NA	[2], 82 p.	4
1	NA	[44], 136, 177-296, 313-400, 409-488 p.	4
1	NA	[2], 4 [i.e. 5], [1] p.	4
1	NA	[4], 72 p.	4
1	NA	[12], 66, [2] p.	4
1	NA	[14], 251, [1], 273, [1] p.	4
1	NA	[8], 54, [2] p.	4
1	NA	[2], 7 [i.e. 6] p.	4
1	NA	[8], 269, [3] p., folded plate	4
1	NA	5 [i.e. 8] p.	4
1	NA	[2], 2, [4] p.	4
1	NA	[2], 55, [1] p.	4
1	NA	[6], 38 p.	4
1	NA	[6], 24, [2] p.	4
1	NA	[8], 75, [1] p.	4
1	NA	[8], 38, [2] p.	4
1	NA	[2], 3, 6-8 p.	4
12	NA	12 v., plates	4
14	NA	14 v.	4
22	NA	22 v.	4
36	NA	36 v.	4
24	NA	24 v.	4
30	NA	30 v.	4
52	NA	52 v.	4
1	NA	[6], 17, [1] p.	3
1	NA	[2], 44, [2] p.	3
1	NA	104 p.	3
1	NA	[8], 119, [1], 20 p.	3
1	NA	[6+] p.	3
1	NA	83, [1] p.	3
1	NA	[20], 136, 121-269, [3] p.	3
1	NA	[16+] p.	3
1	NA	[6], 48 p.	3
1	NA	[2], 3-7, [1] p.	3
1	NA	[28], 363 [i.e. 336], 335-653, [1] p., [1] leaf of plates	3
1	NA	[6], 39, [1] p.	3
1	NA	[116] p.	3
1	NA	89-100 p.	3
1	NA	71-76 p.	3
1	NA	1-6 p.	3
1	NA	[2], 33-38 p.	3
1	NA	80 p.	3
1	NA	59 [i.e. 99] p.	3
1	NA	77 p.	3
1	NA	8-9 p.	3
1	NA	216 p.	3
1	NA	[2], 15-150, [2] p.	3
1	NA	[2], 147-151, [1] p.	3
1	NA	112-119, [1] p.	3
1	NA	33, [1] p.	3
1	NA	[2], 43-56 p.	3
1	NA	237-238 p.	3
1	NA	73, [1] p.	3
1	NA	78 p.	3
1	NA	144 p.	3
1	NA	156 p.	3
1	NA	15 [i.e. 16] p.	3
