author	author_gender	Count
Allainval, Léonor Jean Christine Soulas D'	ambiguous	     1
Allais, Denis Vairasse D' (1630-1672)	ambiguous	     5
Allan, 	ambiguous	     2
Allan, David	ambiguous	     2
Allan, George (1736-1753)	ambiguous	     2
Allan, George (1736-1800)	ambiguous	     5
Allan, Hellen	NA	     2
Allan, Henry	ambiguous	     1
Allan, James	NA	     2
Allan, James (1696-1707)	NA	     1
Allan, James (1712-1767)	NA	     2
Allan, Jean	ambiguous	     1
Allan, John	NA	     1
Allan, Joseph	ambiguous	     1
Allan, Richard	ambiguous	     2
Allan, William (1701-NA)	ambiguous	     3
Allanby, Gulielmus	male	     1
Allanson, Charles	ambiguous	     1
Allanson, Cuthbert (1724-1725)	NA	     1
Allanson, John	NA	     1
Allardes, John (1690-NA)	NA	     1
Allardes, William	ambiguous	     1
Allardice, David	ambiguous	     1
Allardice, Jane	ambiguous	     1
Allardice, Jean	ambiguous	     1
Allardyce, Alexander (1743-1801)	ambiguous	     4
Allason, James	NA	     2
Allason, John (1666-1667)	NA	     2
Allatt, John	NA	     1
Alldridge, W J	NA	     3
Alle, Thomas	NA	     1
Allegro, 	NA	     1
Allein, Toby	ambiguous	     2
Alleine, Joseph (1634-1668)	ambiguous	   110
Alleine, Richard (1611-1681)	ambiguous	     3
Alleine, Theodosia	NA	     2
Alleine, William (1614-1677)	ambiguous	     4
Allemand, Bon	NA	     2
Allen, 	ambiguous	     3
Allen,  (1790-NA)	ambiguous	     2
Allen,  (1795-NA)	ambiguous	     1
Allen, Benjamin (1663-1738)	ambiguous	     2
Allen, Benjamin (1663-1836)	ambiguous	     1
Allen, Bennet (1736-1737)	ambiguous	     7
Allen, Charles (1728-1792)	ambiguous	     8
Allen, Charles (1728-1793)	ambiguous	     5
Allen, Charles (1728-NA)	ambiguous	     5
Allen, Daniel (1699-NA)	ambiguous	     2
Allen, Edmond	NA	     1
Allen, Edmund (1519-1559)	NA	     5
Allen, Edward	NA	     1
Allen, Ethan (1738-1789)	ambiguous	    12
Allen, Fifield (1699-1764)	NA	     9
Allen, Francis	ambiguous	     1
Allen, George (1750-1771)	ambiguous	     2
Allen, George Edward	ambiguous	     1
Allen, H (1770-1775)	NA	     1
Allen, Hannah (1683-NA)	ambiguous	     1
Allen, Ira (1751-1814)	ambiguous	    14
