original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
55 x 74 cm.	NA	55.0	74.0	FALSE	NA	55.0	74.0	NA	4070.00	     1
53 x 62 cm.	NA	53.0	62.0	FALSE	NA	53.0	62.0	NA	3286.00	     1
59 x 43 cm.	NA	43.0	59.0	FALSE	NA	43.0	59.0	NA	2537.00	     1
60 x 46 cm.	NA	46.0	60.0	FALSE	NA	46.0	60.0	NA	2760.00	     1
21 cm. (12mo and 8vo)	NA	NA	21.0	FALSE	NA	14.0	21.0	NA	 294.00	     1
19 cm. (12mo?)	12mo	NA	19.0	FALSE	12mo	12.5	19.0	 0	 237.50	     1
52 x 38 cm.	NA	38.0	52.0	FALSE	NA	38.0	52.0	NA	1976.00	     1
15 cm. (4to?)	4to	NA	15.0	FALSE	4to	14.0	15.0	 0	 210.00	     1
20 x 18 cm.	NA	18.0	20.0	FALSE	NA	18.0	20.0	NA	 360.00	     1
29 x 34 cm.	NA	29.0	34.0	FALSE	NA	29.0	34.0	NA	 986.00	     1
49 x 23 cm.	NA	23.0	49.0	FALSE	NA	23.0	49.0	NA	1127.00	     1
37 x 29 cm.	NA	29.0	37.0	FALSE	NA	29.0	37.0	NA	1073.00	     1
32 x 10 cm.	NA	10.0	32.0	FALSE	NA	10.0	32.0	NA	 320.00	     1
