original	polished	Count
Giles, W.	Giles, W	9
Ireland, W. H.	Ireland, W. H	9
Harcourt of Stanton Harcourt, Simon Harcourt	Harcourt Of Stanton Harcourt, Simon	9
Webber, Samuel.	Webber, Samuel	9
Pitt, W. M.	Pitt, W. M	9
Walker, Joseph C.	Walker, Joseph C	9
Stubbs, W.	Stubbs, W	9
White, George.	White, George	9
Bull, Digby.	Bull, Digby	9
Barker, Jane.	Barker, Jane	9
Gilbert, J.	Gilbert, J	9
Symonds, H. D.	Symonds, H. D	9
Fortune, T.	Fortune, T	9
Napier, Francis Napier	Napier, Francis	9
Volunteer.	Volunteer	9
Raymond, George Frederick.	Raymond, George Frederick	9
Nisbett, N.	Nisbett, N	9
Pineda, Pedro.	Pineda, Pedro	9
Grundy, John.	Grundy, John	9
Young, Mary Julia.	Young, Mary Julia	9
Hill, P.	Hill, P	9
Minifie, Margaret.	Minifie, Margaret	9
Weston, William.	Weston, William	9
Godbold, Nathaniel.	Godbold, Nathaniel	9
Kent, Samuel.	Kent, Samuel	9
Maxwell, Henry.	Maxwell, Henry	9
Joly de Saint-Vallier.	Joly De Saint-vallier	9
Caesar, John James.	Caesar, John James	9
Stonehouse, S.	Stonehouse, S	9
Junius.	Junius	9
Y-Worth, W.	Y-worth, W	9
Fernández, Jerónimo.	Fernández, Jerónimo	9
Cobler.	Cobler	9
Townsend, George.	Townsend, George	9
Bateman, Tho.	Bateman, Tho	9
Partridge, Samuel.	Partridge, Samuel	9
Wathen, Jonathan.	Wathen, Jonathan	9
Vans, Patrick.	Vans, Patrick	9
Lover of peace.	Lover Of Peace	9
Boyd, Allan.	Boyd, Allan	9
Mayhew, R.	Mayhew, R	9
Ellis, J.	Ellis, J	9
Urquhart, William.	Urquhart, William	9
Hog, Rebecca.	Hog, Rebecca	9
De Gols, Gerard.	De Gols, Gerard	9
Tomlinson, Kellom.	Tomlinson, Kellom	9
Nevil, Henry.	Nevil, Henry	9
Goeurot, Jean.	Goeurot, Jean	9
Knell, Thomas.	Knell, Thomas	9
Petowe, Henry.	Petowe, Henry	9
Aspley, John.	Aspley, John	9
Glapthorne, Henry.	Glapthorne, Henry	9
Cock, Thomas.	Cock, Thomas	9
Berkeley, George Berkeley	Berkeley, George	9
Miles, Abraham.	Miles, Abraham	9
Capel of Hadham, Arthur Capel	Capel Of Hadham, Arthur	9
Browne, Edward.	Browne, Edward	9
Baxter, Richard.	Baxter, Richard	9
Dean, J.	Dean, J	9
Duval, P.	Duval, P	9
Hudgebut, John.	Hudgebut, John	9
Winter, Salvator.	Winter, Salvator	9
Verryck, Ferdinando.	Verryck, Ferdinando	9
Gutteridge, T.	Gutteridge, T	8
James, William.	James, William	8
Whitrowe, Joan.	Whitrowe, Joan	8
De Grey, Thomas.	De Grey, Thomas	8
Swediauer, F.	Swediauer, F	8
Price, Henry.	Price, Henry	8
Harley, M.	Harley, M	8
Haslewood, Francis.	Haslewood, Francis	8
Kimber, John.	Kimber, John	8
Dafforne, Richard.	Dafforne, Richard	8
Robinson, J.	Robinson, J	8
[Higgins, Alexander	Higgins, Alexander	8
Searson, John.	Searson, John	8
Nairne, Katharine.	Nairne, Katharine	8
Bicknoll, Edmond.	Bicknoll, Edmond	8
Koops, Matthias.	Koops, Matthias	8
Scale, Bernard.	Scale, Bernard	8
Boutet, Claude.	Boutet, Claude	8
Motherhill, John.	Motherhill, John	8
Pitts, Joseph.	Pitts, Joseph	8
Williams, Renwick.	Williams, Renwick	8
Gentleman in Scotland.	Gentleman In Scotland	8
Goodinge, Thomas.	Goodinge, Thomas	8
Belcher, Wm.	Belcher, Wm	8
