ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Middelburg	2750896	Middelburg	Middelburg	51.5	3.61389	NL	10	0687			46485	Europe/Amsterdam
Minorca	4333548	Minorca	Minorca	31.57933	-91.48179	US	LA	029			2317	America/Chicago
Monmouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Montreal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Montrose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nassau	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Bedford Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Bedford Ms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Bern N.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Haven Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New London Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Orleans La	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New York N.Y	5128581	New York City	New York City	40.71427	-74.00597	US	NY				8175133	America/New_York
Newark	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newark N.J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newbury Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newbury Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newburyport Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newcastle	6695976	Newcastle	Newcastle	54.21804	-5.88979	GB	NIR	R9			7444	Europe/London
Newfield Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newport Isle of Wight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Newry	2641581	Newry	Newry	54.17841	-6.33739	GB	NIR	S9			27757	Europe/London
Niagara	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
